Site,Plot,AGB,SRR,Min_rate,Fungi,GF,Lichen,Val_fungi
BlackBush,1 - Intact,362.8796045,4.894164194,10.19051867,11,7,41,2
BlackBush,2 - Slight,287.4187602,4.719372616,16.00828342,9,11,29,0
BlackBush,3 - Moderate,180.9566373,3.408435778,26.22161336,7,15,32,1
BlackBush,4 - Major,116.089926,3.670623145,97.25920734,6,12,28,1
BlackBush,5 - Total,0,3.932810513,12.84070345,2,23,38,0
Bramshaw,1 - Intact,336.892768,4.457185248,12.73824391,6,5,35,1
Bramshaw,2 - Slight,196.2251671,4.369789459,1.169364088,18,15,38,1
Bramshaw,3 - Moderate,174.1329323,4.020206302,0.536765643,11,14,24,0
Bramshaw,4 - Major,80.05859742,4.457185248,44.88301262,11,11,38,0
Bramshaw,5 - Total,0,2.796665254,18.02994775,8,20,18,1
Brinken,1 - Intact,325.5171981,4.28239367,6.434815853,10,9,27,0
Brinken,2 - Slight,206.9824336,3.321039989,44.18223525,14,13,26,0
Brinken,3 - Moderate,172.9689067,4.19499788,1.870778641,6,27,41,0
Brinken,4 - Major,84.70763753,1.660519994,15.57193832,7,27,33,1
Brinken,5 - Total,0,2.971456832,25.95769084,1,31,13,0
Brockis Hill,1 - Intact,327.4580676,3.897852197,16.76526061,15,6,31,2
Brockis Hill,2 - Slight,202.7733451,3.548269041,0.712756467,14,2,28,2
Brockis Hill,3 - Moderate,255.2389992,3.79297725,5.919587103,8,3,23,0
Brockis Hill,4 - Major,58.6236941,3.530789883,0.998853065,9,10,20,0
Brockis Hill,5 - Total,0,4.352310301,0,7,20,18,0
DennyWood,1 - Intact,314.4755019,3.967768829,0,13,3,48,1
DennyWood,2 - Slight,214.4697014,3.14624841,21.39887855,8,12,28,0
DennyWood,3 - Moderate,214.2528921,3.198685884,8.562890276,10,13,39,2
DennyWood,4 - Major,69.22812504,2.202373887,11.61424748,2,20,35,0
DennyWood,5 - Total,0,3.495831567,16.6700946,5,28,15,0
Eyeworth,1 - Intact,314.6940399,3.810456408,,16,6,28,2
Eyeworth,2 - Slight,210.0243139,0.087395789,,9,17,30,0
Eyeworth,3 - Moderate,183.9331174,4.078470162,,9,10,37,0
Eyeworth,4 - Major,71.16928653,4.25326174,,9,32,18,1
Eyeworth,5 - Total,0,3.688102303,,6,18,55,1
JamesHill,1 - Intact,396.2136688,4.107602091,14.64546961,5,5,30,0
JamesHill,2 - Slight,263.7281277,3.583227356,17.91945967,6,5,34,0
JamesHill,3 - Moderate,172.7033491,3.63566483,13.26710845,8,10,35,0
JamesHill,4 - Major,106.5837392,3.111290095,75.86631834,2,13,23,0
JamesHill,5 - Total,0,3.321039989,4.617943163,2,24,11,0
Malwood,1 - Intact,317.3323589,3.216165042,6.91143112,13,7,32,2
Malwood,2 - Slight,383.9281942,3.618185672,4.473811647,15,11,24,1
Malwood,3 - Moderate,115.5048443,3.023894305,48.08805913,12,28,42,1
Malwood,4 - Major,98.38149768,2.604394517,5.320759526,7,31,16,0
Malwood,5 - Total,0,2.254811361,43.2990952,5,25,22,0
MarkAsh,1 - Intact,587.9575345,3.79297725,34.97463999,17,8,33,2
MarkAsh,2 - Slight,329.2251502,4.317351985,69.56773289,10,13,29,1
MarkAsh,3 - Moderate,223.4700087,2.74422778,4.156492927,10,19,17,1
MarkAsh,4 - Major,76.89066,2.831623569,103.1617179,4,7,29,0
MarkAsh,5 - Total,0,3.845414724,49.13431885,1,8,19,0
Ridley,1 - Intact,328.2046028,3.723060619,1.033898305,16,9,30,1
Ridley,2 - Slight,205.6673027,3.2336442,23.59016185,14,17,55,0
Ridley,3 - Moderate,225.6749337,3.478352409,45.30546706,12,24,41,1
Ridley,4 - Major,74.22885822,3.006415148,59.26914744,9,23,32,0
Ridley,5 - Total,0,3.207425463,26.82451892,1,23,29,0
Shave Wood,1 - Intact,384.4083442,3.950289671,0.819803747,10,3,43,2
Shave Wood,2 - Slight,259.5539731,3.801716829,6.219064611,6,5,32,2
Shave Wood,3 - Moderate,154.2474849,2.884061043,0.501661909,11,13,48,2
Shave Wood,4 - Major,80.14483061,3.291908059,1.630118644,7,18,43,2
Shave Wood,5 - Total,0,3.277342094,17.1078119,5,25,12,1
WoodCrates,1 - Intact,757.2524632,8.739578918,11.30610424,9,10,25,1
WoodCrates,2 - Slight,326.1888252,4.422226932,1.757486938,15,10,65,2
WoodCrates,3 - Moderate,273.8754604,3.762388724,21.07212948,13,19,44,1
WoodCrates,4 - Major,110.2259664,2.774816306,13.78475851,5,29,23,0
WoodCrates,5 - Total,0,4.050794828,7.835223652,3,23,23,0
