"Scenario","Year","mean_AGB","Aesthetic","Recreation"
"1",0,239.29299536836,4.13432324022635,4.10863580951449
"1",10,266.564779997105,4.24946178927001,4.16281345785128
"1",20,294.595343392676,4.35456999292015,4.21579273959338
"1",30,317.987303517152,4.43671474630556,4.25886876497114
"1",40,336.383455275727,4.49892485310328,4.29228397082294
"1",50,351.376163699522,4.54766061417261,4.31913643274703
"1",60,363.978855478362,4.5870942516567,4.34140724322692
"1",70,374.222836879433,4.61771174219084,4.35922431209611
"1",80,382.002971486467,4.63960136016552,4.37247228554393
"1",90,387.582456940223,4.65434444943555,4.38176769300214
"1",100,391.596776668114,4.6644550099225,4.3883464654396
"2",0,239.29299536836,4.13432324022635,4.10863580951449
"2",10,253.113603632943,4.1898592272141,4.13547484050477
"2",20,281.987724345057,4.30461551959759,4.19136554932305
"2",30,306.822395788102,4.39670128839328,4.23810257881571
"2",40,326.837283253727,4.46772867074157,4.27515121125303
"2",50,343.400019539731,4.52384232202906,4.30528762498448
"2",60,357.363276885222,4.56899969391211,4.33027111923026
"2",70,368.68483716891,4.6038014080802,4.35017191944451
"2",80,377.272873425966,4.62853303451717,4.36492523284265
"2",90,383.416161890288,4.64505995260381,4.37522890398227
"2",100,387.851809958026,4.65635130603816,4.38252676802012
"3",0,239.29299536836,4.13432324022635,4.10863580951449
"3",10,242.435337241279,4.13447004494283,4.11213909423009
"3",20,271.336469098278,4.25429768775702,4.16909565627932
"3",30,296.696740845274,4.35290886367033,4.21775385854581
"3",40,317.637607468519,4.43092564912757,4.25726237632631
"3",50,335.056232450427,4.49333151851778,4.28963420450498
"3",60,350.080172600955,4.5448036072064,4.31710283234652
"3",70,362.728188594587,4.58564139988743,4.33973971206657
"3",80,372.586507815892,4.61530281569102,4.35694090944297
"3",90,379.747683094514,4.63538695475413,4.3691271283354
"3",100,384.879679403676,4.64894361938228,4.37767921208672
"4",0,239.29299536836,4.13432324022635,4.10863580951449
"4",10,225.863112244898,4.07187869273448,4.08062875364842
"4",20,258.77151505283,4.21355997453557,4.1466219735903
"4",30,287.148878636561,4.32648707417842,4.20164068684563
"4",40,310.243899623679,4.4134563201737,4.24543209967555
"4",50,329.297518092343,4.48156507607248,4.28084794916783
"4",60,345.408335866261,4.53603489279285,4.31017742163328
"4",70,358.778262411347,4.57839626818645,4.33394032583739
"4",80,369.163704226371,4.60921093791234,4.35196745600146
"4",90,376.875530467506,4.63048307349814,4.36500951996381
"4",100,382.620390432769,4.64522850211042,4.37447918233838
"5",0,239.29299536836,4.13432324022635,4.10863580951449
"5",10,203.603893472283,3.97525409422798,4.03573358166749
"5",20,237.925795701259,4.13179065998273,4.10640540001718
"5",30,268.535040888696,4.2595885282673,4.16703613688316
"5",40,294.047578158923,4.35957651760549,4.21626328805004
"5",50,315.18351968447,4.43787348618139,4.25613267402836
"5",60,333.042932045158,4.50030416789638,4.28905870412806
"5",70,347.970566290346,4.54915767922743,4.31589597659285
"5",80,359.762704805326,4.58530943382441,4.33659651210349
"5",90,368.800300332899,4.61111719793104,4.35205908828145
"5",100,375.644180055001,4.62935715842253,4.36348313438214
"6",0,239.29299536836,4.13432324022635,4.10863580951449
"6",10,196.167961354755,3.93937430501311,4.02005400003504
"6",20,231.07491568968,4.10072044734739,4.09238523358987
"6",30,262.23280141844,4.23262796020115,4.15446865745265
"6",40,288.123825083225,4.33607435613827,4.20480362673198
"6",50,309.675112896222,4.41778609613011,4.24581395771532
"6",60,328.167953032277,4.48391996587725,4.28019583932692
"6",70,343.850717542336,4.53643544422163,4.3086321529152
"6",80,356.390723331886,4.57580902978748,4.3308448312881
"6",90,365.923927847735,4.60367100357679,4.3472996493272
"6",100,373.046708279056,4.62301960496274,4.35927500488365
