"Var","Model","AICc","logLik","R2","delta","AIC_w"
"SRR","Linear",145.77,-68.52,0.1,0,0.61
"SRR","Null",146.91,-70.24,0,1.14,0.34
"SRR","Quadratic",150.9,-69.89,0.11,5.13,0.05
"Min_rate","Quadratic",490.72,-239.73,0.05,0,0.63
"Min_rate","Linear",491.96,-241.57,0.05,1.24,0.34
"Min_rate","Null",496.69,-245.1,0,5.97,0.03
"Fungi","Quadratic",310.75,-151,0.5,0,0.85
"Fungi","Linear",314.26,-153.91,0.42,3.51,0.15
"Fungi","Null",370.32,-183.05,0,59.57,0
"GF","Linear",395.67,-194.62,0.47,0,0.74
"GF","Quadratic",397.79,-194.53,0.46,2.12,0.26
"GF","Null",510.89,-253.34,0,115.22,0
"Lichen","Quadratic",492.69,-241.98,0.21,0,0.9
"Lichen","Linear",497.08,-245.32,0.15,4.39,0.1
"Lichen","Null",527.55,-261.67,0,34.86,0
"Val_fungi","Linear",123.28,-58.42,0.19,0,0.71
"Val_fungi","Quadratic",125.15,-58.21,0.23,1.87,0.28
"Val_fungi","Null",132.28,-64.03,0,9,0.01
"Rec_transM","Linear",4302.44,-2147.2,0.03,0,0.78
"Rec_transM","Quadratic",4305,-2147.47,0.03,2.56,0.22
"Rec_transM","Null",4346.97,-2170.47,0,44.53,0
"Rec_transM","Linear",4302.44,-2147.2,0.03,0,0.78
"Rec_transM","Quadratic",4305,-2147.47,0.03,2.56,0.22
"Rec_transM","Null",4346.97,-2170.47,0,44.53,0
