"Variable","df","AICc","Model"
"AGB_M",8,-147.219171858903,"Non-linear interaction"
"SRR_M",8,-297.978238938777,"Non-linear interaction"
"Min_rate_M",6,-159.7253473849,"Non-linear"
"Fungi_M",8,-180.497328830128,"Non-linear interaction"
"GF_M",6,-153.750052538585,"Non-linear"
"Lichen_M",8,-223.174169705019,"Non-linear interaction"
"Aesthetic_M",8,-267.945635500441,"Non-linear interaction"
"Recreation_M",8,-214.060286683416,"Non-linear interaction"
"Fungi_val_M",8,-158.859724477818,"Non-linear interaction"
"Carbon_stock_M",8,-155.07243838235,"Non-linear interaction"
"Nitrogen_stock_M",3,-2423.4513114824,"Null"
"Timber_M",5,-110.620042414047,"Linear interaction"
"Tree_richness_M",6,-236.37696586006,"Non-linear"
